Topic,Question,Answer
Кавычки,"Шаболовская (1) телебашня (2)  — это изящное и в то же время чрезвычайно прочное сооружение, которое построено по проекту знаменитого архитектора (3) Владимира Шухова (4) в 1922 году. Уже в 1950-х годах башня стала символом нового времени: она вдохновила Алексея Толстого на создание романа (5) Гиперболоид инженера Гарина (6), а её изображение стало неотъемлемым элементом заставки многих телепередач, включая знаменитую новогоднюю программу (7) Голубой огонёк (8).","5,6,7,8  "
Кавычки,"Болдинская усадьба, расположенная недалеко от (1) Нижнего Новгорода (2), привлекает к себе большое количество поклонников творчества А. С. Пушкина. Несмотря на то что поэт побывал в родовом поместье всего лишь три раза, село вдохновило его на написание более 50 произведений, среди которых (3) Медный всадник (4), главы (5) Евгения Онегина (6). Недаром исследователи творчества Александра Сергеевича говорили о днях, которые поэт провёл здесь осенью 1830 года: (7) Это чудо болдинской осени (8).","3,4,5,6,7,8  "
Кавычки,"Пётр Николаевич Сигунов  — автор книг (1) Лесное счастье (2), (3) Таёжные незабудки (4) и других. Через всю жизнь Пётр Николаевич пронёс любовь к родному краю  — (5) Липецкой области (6). Вспоминая окрестности своей деревни, он пишет в одной из своих книг: (7) Я любил поудить в тихих заводинках студёной речушки Ястребинки, половить самодельным сачком серебристых карасей (8). Мне нравилось собирать в густой зелёной дубраве весенние ландыши, синие резные колокольчики, оранжевые купавы (9).","1,2,3,4,7,9  "
Кавычки,"Известный учёный, архитектор и реставратор А. В. Ополовников в книге (1) Русский Север. Памятники зодчества (2) писал: (3) Замечательнейшие события нашей истории записаны не только на сухих страницах летописей, они переданы памяти потомства в произведениях искусства, они рассеяны всюду (4). Слова исследователя относятся и к (5) Карелии (6), которая по разнообразию ценнейших памятников народного художественного творчества занимает одно из ведущих мест на севере (7) России (8).","1,2,3,4  "
Запятая,Ветер опять налетел неожиданно. Он сорвал листья с деревьев (1) и (2) подбросив их вверх (3) затих (4) любуясь разноцветным дождём: жёлтым (5) зелёным и красным. Листья (6) опускающиеся на землю (7) плавно покачивались (8) словно разноцветные рыбки в пруду. Так ветер (9) отмечал наступление осени.,"2,3,4,5,6,7,8  "
Запятая,Ясная Поляна (1) чудесное место. Оказавшись в этом уютном уголке (2) расположенном всего лишь в 200 км от столицы (3) и в 10 минутах езды от Тулы (4) ощущаешь себя на краю земли. Природа поражает своей красотой (5) и время здесь словно останавливается. Берёзовая аллея (6) яблоневые сады (7) парки (8) и пруды настраивают на творческий лад. Неудивительно (9) что в этих местах творил гениальный писатель Л. Н. Толстой.,"2,4,5,6,7,9  "
Кавычки,"Национальный парк под названием (1) Ле́нские Столбы́ (2)  — геологическое образование и одноимённый природный парк в (3) Якутии (4) на берегу реки (5) Лены (6). Это причудливые и разнообразные скальные образования, высота которых доходит до 220 метров над уровнем реки. Декабрист А. А. Бестужев-Марлинский восторженно отзывался об этом месте: (7) Какая-то святая тишина лежит на девственном творении, и душа сливается с дикою, но величественною природой (8).","1,2,7,8  "
Запятая,Петродворец располагается в 30 км от Петербурга (1) и является одним из самых известных дворцово-парковых ансамблей нашей страны (2) и (3) пожалуй (4) всего мира. Его по праву называют основным украшением «жемчужного ожерелья» города на Неве (5) как именуют пригороды Санкт-Петербурга. Наиболее уникальным отличием Петродворца (6) от других дворцово-парковых ансамблей (7) являются десятки разнообразных фонтанов (8) входящих в потрясающий по красоте комплекс.,"3,4,5,8  "
Запятая,Госудáрственная Третьякóвская галерéя (1) московский художественный музей (2) основанный в 1856 году купцом Павлом Третьяковым (3) происходившим из небогатого купеческого рода. Коллекционер хотел создать национальный музей (4) в котором (5) были бы представлены работы русских художников. Сегодня (6) экспозиция галереи насчитывает более 180 000 предметов (7) и включает в себя картины (8) скульптуры и изделия из драгоценных металлов (9) созданные с XI по XX век.,"2,3,4,8,9  "
Тире,Расположенный в живописных лесах сибирской тайги (1) этнографический музей под открытым небом «Торум-Маа» (2) гордость местных жителей. Главная задача музея (3) воспроизведение среды обитания коренных жителей (4) передающей их жизненный уклад и культурную самобытность. Старинные деревянные усадьбы (5) невероятная природа дремучего леса (6) всё это дарит уникальную возможность (7) любому желающему познакомиться с культурой (8) древнего сибирского народа.,"2,3,6  "
Кавычки,(1) На широкой площади возвышается Петровский театр (2) произведение новейшего искусства (3) огромное здание с плоской кровлей и величественным портиком (4) на коем возвышается алебастровый Аполлон (5) неподвижно управляющий тремя алебастровыми конями и с досадою взирающий на кремлёвскую стену (6) которая ревниво отделяет его от древних святынь России! (7)  — так писал М. Ю. Лермонтов о московском Большом театре в своём юношеском сочинении (8) Панорама Москвы (9).,"1,7,8,9  "
Кавычки,"Мамаев курган был местом ожесточённых боёв во время битвы под (1) Сталинградом (2) в 1942–1943 гг., а сегодня здесь расположен признанный во всём мире шедевр монументального искусства (3) грандиозный ансамбль-памятник, на котором начертано: (4) Героям Сталинградской битвы (5). Самым известным монументом является огромная скульптура (6) Родина-Мать зовёт! (7). Посетившие этот уникальный ансамбль навсегда запоминают высеченную на знамени надпись: (8) Железный ветер бил им в лицо, а они всё шли вперёд, и снова чувство суеверного страха охватывало противника (9).","4,5,6,7,8,9  "
Запятая,Город Кировск (1) расположенный в центре горного массива Хибины (2) знаменит не только крупнейшими залежами апатитов (3) но и самым известным российским горнолыжным курортом. Местные жители шутят (4) что дети здесь встают на лыжи раньше (5) чем начинают ходить. Это неудивительно (6) так как повсюду (7) утрамбованные свирепыми северными буранами (8) снежные поля и обширные склоны Хибин. Всё словно создано для того (9) чтобы прокатиться на лыжах или сноуборде.,"1,2,3,4,5,6,9  "
Запятая,Лабиринты Заяцкого острова (1) настоящая загадка Соловецкого архипелага. Это невысокие сооружения (2) выложенные в виде спирали из мелких булыжников (3) и (4) имеющие один вход (5) и выход. Над загадкой острова учёные бьются с начала XX века (6) однако (7) единого мнения о происхождении этих лабиринтов до сих пор не существует. Тайна (8) завесу которой пока никто не может приподнять (9) манит к себе большое количество туристов.,"2,6,8,9  "
Запятая,Совершая прогулку (1) по улице Баумана в Казани (2) туристы обязательно фотографируются у нескольких необычных скульптурных объектов. Одним из таких объектов является памятник огромному вальяжному коту (3) олицетворяющему одновременно реальную историю (4) и её сказочное воплощение. Упитанный (5) трёхметровый кот (6) лениво разлёгся на топчане в беседке (7) сыто (8) и благостно улыбаясь.,"2,3,7  "
Запятая,Заядлые путешественники (1) ищущие (2) что посмотреть в России самого необычного и даже мистического (3) непременно должны спуститься в Кунгурскую пещеру. Сегодня это место (4) самое известное уральское чудо. Температура здесь не поднимается выше +8 ºC (5) поэтому (6) отправившиеся на досуге полюбоваться сталактитами и сталагмитами (7) уральцы (8) частенько дрожат здесь от холода (9) если забыли надеть перед спуском тёплую куртку и шапку.,"1,2,3,5,9  "
Тире,Домик Петра I (1) единственная постройка (2) сохранившаяся с первых дней основания Петербурга (3) которая была сооружена солдатами-плотниками за три дня (4) и служила первой резиденцией царя на берегах Невы. Внутри дома до сих пор на рабочем столе лежат царская табакерка (5) самшитовая курительная трубка (6) чертежи и деловые бумаги (7) вещи (8) принадлежавшие Петру I.,"1,7  "
Двоеточие,Арбат уже давно стал главной туристической артерией Москвы (1) так как сюда стекаются гости гóрода со всех его концов. Пересекают Старый Арбат узкие переулки (2) Большой Афанасьевский (3) Староконюшенный (4) Калошин (5) Кривоарбатский (6) Денежный и т. д. Это своеобразное наследство от расположенных здесь мастерских ремесленников (7) а само название Орбат впервые упоминается в 1475 году (8) «Погорел совсем на Орбате Никифор Басенков».,"2,8  "
Тире,Семикаракорский фаянс (1) это посуда (2) изготовленная в лучших традициях донских мастеров. При её производстве применяется метод уникального ручного труда. Её отличают оригинальность и многообразность форм (3) изобретательность и поэтичность в декоре (4) передающем красоту родной земли (5) фольклорные казачьи мотивы и традиции. Каждая вазочка или тарелка (6) каждый чайник или самовар (7) это живые краски донской природы. Белая глина и ручная кистевая роспись (8) делают рисунок привлекательным и долговечным.,"1,7  "
Запятая,Среди необозримых полей (1) лесов (2) перелесков на северо-западе Пензенской области раскинулось (3) старинное село Тарханы. Здесь (4) в имении Арсеньевых (5) провёл детские и отроческие годы Михаил Юрьевич Лермонтов. Сейчас в бывших Тарханах (6) именуемых ныне Лермонтово (7) находится Государственный музей-заповедник великого русского поэта (8) и писателя. Это уникальный (9) историко-культурный памятник федерального значения.,"1,2,4,5,6,7  "
Запятая,Вантовые мосты во Владивостоке (1) соединившие континент и остров (2) потрясают (3) своим величием каждого (4) кто приезжает посмотреть достопримечательности России. Золотой и Русский мосты впечатляют своими размерами. Длина первого (5) почти 1400 м (6) а второго (7) 3100 м. Самые красивые виды на Русский мост (8) открываются с сопки Орлиное Гнездо. Лучше всего любоваться мостами вечером (9) когда включается ночная подсветка.,"1,2,4,6,9  "
Тире,Центральный сибирский ботанический сад (1) один из уютнейших природных уголков в Новосибирской области (2) и крупнейший ботанический сад в Азиатской части России. Лес (3) парк (4) коллекции исчезающих видов растений (5) всё это и многое другое привлекает сюда огромное число людей (6) среди которых не только знатоки ботаники (7) но и обычные любители природы. Весной сад манит редкими цветами (8) летом привлекает чистыми прудами (9) а осенью манит к себе золотистыми аллеями.,"1,5  "
Тире,"Суздальский музей деревянного зодчества (1) настоящий городок (2) построенный без единого гвоздя. Из дерева здесь всё (3) ложки и лавки в избе, и даже крытая лемехом церковная маковка. Мельницы (4) церковь (5) дома́ (6) амбары и бани (7) всё привезено сюда из разных сёл Владимирской области и поставлено на территории несохранившегося Дмитриевского монастыря. Автор проекта создания музея В. М. Анисимов писал (8) «Забыть свои корни можно и через три поколения. И потому ещё более дорогой нам становится историческая память»","1,7"
